vehage,CC,Length,Weight,claimamt
1,1086,3565,854,69186.72
3,1596,4282,1130,96000
9,2446,4425,1470,32400
4,993,3495,875,48480
0,1405,3675,980,79800
1,1086,3565,868,71064
0,1405,3675,980,91200
2,1405,3675,980,68400.024
0,995,3495,840,79802.4
1,1399,4310,1095,104644.704
6,993,3495,875,29152.8
3,1086,3565,854,64800
3,1800,4505,1820,96000
6,1061,3520,825,37920
3,1086,3565,854,66000
0,1405,3675,980,79588.08
0,1405,3675,980,83624.4
2,1298,3695,980,69683.52
4,1405,3675,980,36000
2,1086,3565,868,71703.36
2,1086,3565,854,60000
0,1086,3565,868,76716.72
0,1405,3675,980,74440.32
4,2609,4325,1880,97200
3,2609,4325,1880,86400
1,1405,3675,980,95194.8
1,1405,3675,980,83624.16
1,1405,3675,980,84000
6,796,3335,665,24000
3,796,3495,740,46800
4,993,3495,875,49440
6,1086,3565,854,28800
4,1086,3565,854,50400
8,1299,4018,1140,34560
4,1086,3565,854,47489.04
1,1086,3565,854,72791.76
2,1405,3675,980,69463.68
2,1086,3565,854,72000
1,1405,3675,980,74440.32
5,1061,3520,825,43200
6,1086,3565,854,32400
1,1086,3565,854,76800
1,796,3495,740,50400
2,2498,4260,1615,97192.728
0,995,3495,840,79802.4
1,1061,3520,825,64800
5,1086,3565,868,50400
5,796,3495,725,34800
4,2446,4425,1470,90000
4,1497,4420,1100,98400
4,1086,3565,854,45600
3,1493,4420,1100,97200
2,1405,4150,1070,84240
8,1405,3675,980,27216
2,1298,4095,875,72000
3,1405,3675,980,79200
2,796,3370,750,37368
3,1405,3675,980,58320
1,796,3495,740,50400
4,1086,3565,868,58056
1,796,3335,665,36000
8,993,3495,875,29568
2,1086,3565,854,60480
2,1405,3675,980,60778.08
1,1405,3675,980,60000
2,796,3335,665,35520
6,2446,4425,1470,72000
4,1086,3565,854,50400
4,2609,4325,1880,96000
1,1405,3675,980,64440
2,1086,3565,854,68639.928
2,1405,3675,980,64799.952
7,1495,4250,1023,30240
1,796,3495,740,50400
2,993,3495,875,66165.12
3,2499,4435,1585,103192.704
1,796,3495,725,54000
2,1405,3675,980,92665.68
5,1086,3565,854,32664
3,1405,3675,980,47992.8
1,796,3335,665,36000
4,1405,3675,980,31200
4,796,3335,665,27840
2,796,3370,750,38399.928
4,1086,3565,854,64800
4,1086,3565,854,35520
2,1086,3565,854,68399.52
1,1405,4150,1070,94800.048
6,1086,3565,854,36000
4,1086,3565,854,49667.04
1,1405,3675,980,69141.12
8,999,3565,854,30000
7,1405,3675,980,26400
3,1405,4130,1105,82583.04
4,796,3335,665,24000
4,1086,3565,854,42000
3,1405,3675,980,54552.96
3,796,3370,750,28800
4,1405,3675,980,49634.88
2,1405,3675,980,76032
1,1450,3675,980,74400
1,1405,3675,980,70609.92
6,1343,4420,1100,48000
4,796,3335,665,24000
2,1405,3675,980,54000
4,2499,4435,1640,76800
1,796,3495,740,56064
0,796,3370,750,52319.844
1,1086,3565,854,76540.56
2,796,3495,740,50112
3,993,3495,875,64800
6,1061,3520,825,47880
6,1086,3565,854,37692
7,1800,4505,1820,43192.8
4,2446,4425,1470,72000
3,1493,4420,1100,108000
4,1405,3675,980,60000
3,796,3370,750,39004.8
8,1061,3520,825,31200
3,1495,4250,1023,86400
5,993,3495,875,37200
2,796,3335,665,33600
2,1405,3675,980,67200
3,993,3495,875,53520
0,1405,3675,980,84280.2
3,1086,3565,854,57600
3,1405,3675,980,64800
4,1405,3675,980,40800
2,1061,3520,825,71674.32
1,1405,3675,980,80336.4
0,1061,3520,825,76559.892
8,1405,3675,980,43200
2,1399,4282,1150,96000.072
0,1390,4247,1080,102850.32
1,1086,3565,854,82489.68
2,796,3495,725,45600
1,1405,3675,980,80644.56
1,1405,3675,980,64800
2,1405,3675,980,61080
2,1298,3695,980,107625.36
4,1405,3675,980,32400
8,1343,4420,1100,59646
5,1405,4150,1070,63600
10,993,3495,875,27000
3,796,3495,740,40824
1,1086,3565,854,80251.2
3,1596,4018,1140,99174.24
2,1405,3675,980,57544.8
4,1086,3565,868,61200
6,1900,3827,990,28800
0,1405,3675,980,97199.82
6,1086,3565,854,30000
7,1493,4420,1100,64800
1,796,3495,740,58158.24
3,796,3370,750,31320
5,796,3335,665,24000
3,993,3495,875,49439.952
1,1405,3675,980,90482.16
7,993,3495,875,43200
2,1086,3565,868,67200
3,796,3495,740,40560
4,796,3335,665,27600
5,1405,3675,980,31200
3,1948,4505,1820,72000
1,1193,3675,980,69789.6
3,1405,3675,980,33600
3,796,3495,740,41473.2
5,1599,4250,1023,87312
3,2499,4435,1585,108000
3,796,3335,665,30240
3,1495,4250,1023,99839.952
4,1299,4140,978,70560
1,1405,3675,980,80575.2
2,1405,4150,1070,90000.12
6,1298,4095,875,52800
4,1086,3565,854,48000
