claimamt,vehage,CC,Length,Weight
49440.0,4,993,3495,875
28800.0,6,1086,3565,854
50400.0,4,1086,3565,854
34560.0,8,1299,4018,1140
47489.04,4,1086,3565,854
72791.76,1,1086,3565,854
69463.68,2,1405,3675,980
74440.32,1,1405,3675,980
32400.0,6,1086,3565,854
76800.0,1,1086,3565,854
97192.728,2,2498,4260,1615
64800.0,1,1061,3520,825
50400.0,5,1086,3565,868
34800.0,5,796,3495,725
90000.0,4,2446,4425,1470
98400.0,4,1497,4420,1100
45600.0,4,1086,3565,854
97200.0,3,1493,4420,1100
84240.0,2,1405,4150,1070
27216.0,8,1405,3675,980
72000.0,2,1298,4095,875
79200.0,3,1405,3675,980
37368.0,2,796,3370,750
58320.0,3,1405,3675,980
58056.0,4,1086,3565,868
36000.0,1,796,3335,665
29568.0,8,993,3495,875
60480.0,2,1086,3565,854
60778.08,2,1405,3675,980
60000.0,1,1405,3675,980
35520.0,2,796,3335,665
64440.0,1,1405,3675,980
68639.928,2,1086,3565,854
30240.0,7,1495,4250,1023
66165.12,2,993,3495,875
103192.704,3,2499,4435,1585
54000.0,1,796,3495,725
92665.68,2,1405,3675,980
32664.0,5,1086,3565,854
47992.8,3,1405,3675,980
31200.0,4,1405,3675,980
27840.0,4,796,3335,665
38399.928,2,796,3370,750
64800.0,4,1086,3565,854
35520.0,4,1086,3565,854
68399.52,2,1086,3565,854
94800.04800000001,1,1405,4150,1070
36000.0,6,1086,3565,854
49667.04,4,1086,3565,854
69141.12,1,1405,3675,980
30000.0,8,999,3565,854
82583.04,3,1405,4130,1105
42000.0,4,1086,3565,854
54552.96,3,1405,3675,980
28800.0,3,796,3370,750
49634.88,4,1405,3675,980
76032.0,2,1405,3675,980
74400.0,1,1450,3675,980
70609.92,1,1405,3675,980
54000.0,2,1405,3675,980
76800.0,4,2499,4435,1640
56064.0,1,796,3495,740
52319.844000000005,0,796,3370,750
76540.56,1,1086,3565,854
50112.0,2,796,3495,740
64800.0,3,993,3495,875
47880.0,6,1061,3520,825
37692.0,6,1086,3565,854
43192.8,7,1800,4505,1820
72000.0,4,2446,4425,1470
108000.0,3,1493,4420,1100
39004.8,3,796,3370,750
31200.0,8,1061,3520,825
86400.0,3,1495,4250,1023
37200.0,5,993,3495,875
33600.0,2,796,3335,665
53520.0,3,993,3495,875
84280.2,0,1405,3675,980
64800.0,3,1405,3675,980
71674.32,2,1061,3520,825
80336.4,1,1405,3675,980
76559.892,0,1061,3520,825
43200.0,8,1405,3675,980
102850.32,0,1390,4247,1080
45600.0,2,796,3495,725
80644.56,1,1405,3675,980
64800.0,1,1405,3675,980
61080.0,2,1405,3675,980
107625.36,2,1298,3695,980
32400.0,4,1405,3675,980
59646.0,8,1343,4420,1100
63600.0,5,1405,4150,1070
27000.0,10,993,3495,875
40824.0,3,796,3495,740
99174.24,3,1596,4018,1140
57544.8,2,1405,3675,980
61200.0,4,1086,3565,868
28800.0,6,1900,3827,990
97199.82,0,1405,3675,980
30000.0,6,1086,3565,854
64800.0,7,1493,4420,1100
58158.24,1,796,3495,740
31320.0,3,796,3370,750
49439.952000000005,3,993,3495,875
90482.16,1,1405,3675,980
43200.0,7,993,3495,875
67200.0,2,1086,3565,868
40560.0,3,796,3495,740
27600.0,4,796,3335,665
31200.0,5,1405,3675,980
72000.0,3,1948,4505,1820
69789.6,1,1193,3675,980
33600.0,3,1405,3675,980
41473.2,3,796,3495,740
87312.0,5,1599,4250,1023
108000.0,3,2499,4435,1585
30240.0,3,796,3335,665
99839.95199999999,3,1495,4250,1023
70560.0,4,1299,4140,978
80575.2,1,1405,3675,980
90000.12,2,1405,4150,1070
52800.0,6,1298,4095,875
